Sample number,Timestamp,raw entries,Diversity,Mental Health,Physical Health,Housing,On Campus Food,Transportation,Parking,Academics,Finances,Spring Break ,Flexibility ,Social ,Student Resources,Longer/More Breaks ,Counseling,Academic Advising,Breaks,Remote,Buses ,Flexibile Deadlines,Office Hours,Tuiton ,Sleep ,Instruction,Syllabus,Pass/Fail,Hobbies,TAs,Feedback,Motivation,Events,Hybrid Classes,Courses,Communication,Stress,Registration,Graduation,Job Search,COVID,Time Management,Less Work,Exams,Grade Replacement,ECE Majors,Family
11,2021/04/01 2:37:58 PM AST,1. Pass/Fail Policy 2. Remove Threads 3. Spring Break 4. Better Advising 5. Project-based Curriculum 6. Better Advising 7. Pass/Fail Policy 8. Spring Break 9. Remove Threads 10. More Course Offerings 11. Where is my vaccine 12. Neck Pain 13. Ears Hurt 13. Time zone diff (Sleepy) 15. Need Good Food,0.0,0,12,0,15,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,14,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,11.0,0.0,0.0,0,0.0,0.0,0.0
12,2021/04/01 2:39:24 PM AST,1. More efforts to check in with mental health of students 2. Help students find a balance between studying and socializing 3. Lessen amount of work per class to avoid overwhelming students (i.e. hell weeks) 4. Provide more financial aid 5. Create more initiatives for student engagement 6. Flexible deadlines 7. Leniency 8. More break days 9. Offer free parking for students 10. Better advising 11. Managing my school-induced stress 12. Relaxing on off days 13. Prioritizing myself 14. Not worrying about pending school debt 15. Getting hired for my preferred job opportunities,0.0,0,0,0,0,0.0,0,0.0,14,0.0,0.0,0.0,0.0,0,0.0,0,12.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,11,0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0
13,2021/04/01 2:39:36 PM AST,"1. Longer breaks during semester 2. More accessible mental health resources 3. Longer reading periods before finals 4. Class scheduling improvements 5. Grade replacement for any course 6. Breaks 7. Mental health resources 8. Housing 9. Renovate van Leer 10. Longer reading period before finals 11. Heavy workload,12. Mental health 13. Grades 14. Family issues 15. Sleep",0.0,12,0,0,0,0.0,0,13.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,15,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,11.0,0,0.0,0.0,14.0
14,2021/04/01 2:40:06 PM AST,1. Reduce Tuition 2. Improve Dining 3.Improve Registration 4: Reduce Housing Costs 5. Provide free parking for Students,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,15.0,0.0,0.0,0,0.0,0.0,0.0
15,2021/04/01 2:40:40 PM AST,1. Improve student housing 2. Allow CmpE to more easily register for CS courses 3. Better academic advising  4. Improve Senior Design administration 5. Improve dining services 6. Improve student housing 7. Allow CmpE to more easily register for CS courses 8. Better academic advising  9. More TA's for upper level classes 10. Improve dining services 11. Job Decisions 12. Academic Performance 13. Online classes 14. Course workload 15. Covid,0.0,0,0,0,0,0.0,0,12.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,14.0,0.0,0,0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,2021/04/01 2:40:53 PM AST,1. Provide clearer instruction/foundation during introductory classes 2. Make mental health facilities more available 3. Push for more exams to align with what's discussed in lecture and course material 4. Options for single-person housing for medical conditions 5. More heads-up for campus events 6. Flexible Deadlines 7. Pass/Fail 8. Student Housing 9. Mental Health Initiatives 10. Accepting feedback 11. Academics 12. Time management 13. Interview preparation. 14. Finances 15. Social,0.0,0,0,0,0,0.0,0,11.0,14,0.0,0.0,15.0,0.0,0,0.0,0,0.0,13,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,13.0,0.0,12.0,0.0,0,0.0,0.0,0.0
17,2021/04/01 2:41:26 PM AST,1. More break days 2. Hybrid offerings for Fall 3. Longer hours in Makerspaces 4. More TA office hours 5. More special topics classes over abroad topic range 6. Staying Remote 7. Offer free parking for students 8. Communication with Students 9. Spring Break 10. Clearer Course schedules 11. Group coordination 12. Group members not giving notice of needing help or taking ownership of assignments 13. Response times on Piazza 14. Last minute changes on assignments 15. Unclear instructions on assignments,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,15.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
18,2021/04/01 2:41:59 PM AST,1. Free events on or off campus 2. More qualified TA's 3. More qualified academic advisors 4. More office hours 5. Free food 6. More Breaks 7. More Financial Aid 8. More qualified academic advisors 9. Free events on or off campus 10. Cheaper parking 11. Social 12. Academics 13. Physical Health 14. Finances 15. Mental Health,0.0,15,13,0,0,0.0,0,12.0,14,0.0,0.0,11.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,2021/04/01 2:45:14 PM AST,1. mid semester CIOS 2. syllabi released before course registration,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
20,2021/04/01 2:46:35 PM AST,1. Extensions 2. Mental health help 3. Office hours in depth,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
